Name Wetland,ID,Area (km2),Type of wetland,Species richness,Species normalized,lat,lon
Laguna Toro,,0.025,,15,600,-17.18333333,-66.38333333
Huayalmarca Pond,,0.001,,3,3000,-17.65,-66.68333333
Laguna Saythu Khocha,,0.4,,7,17.5,-17.38333333,-65.65
Laguna Totora Khocha,,1.2,,20,16.66666667,-17.45,-66.63333333
Laguna Larati,,1.24,,25,20.16129032,-17.35,-66.03333333
Laguna Juntutuyo,,2.44,,7,2.868852459,-17.56666667,-65.65
Río Candelaria,,0.01,,31,3100,-17.26666667,-65.93333333
Chulichuncani Laguna,,0.2,,15,75,-17.56666667,-65.36666667
Laguna Alalay,,1.75,,32,18.28571429,-17.4,-66.13333333
Río Mizque Wetland,,0.005,,65,13000,-17.93333333,-65.3
Río Guadalquivir Wetland,,0.0005,,49,98000,-21.53333333,-64.73333333
Tiquipaya Irrigation Canal,,0.0002,,16,80000,-17.35,-66.21666667
Chimpa Huata Bog,,0.0005,,23,46000,-17.2,-65.91666667
Incachaca Pond,,0.01,,26,2600,-17.25,-65.81666667
Laguna Khonchu - East,,0.0007,,12,17142.85714,-17.15,-65.93333333
Laguna Khonchu - West,,0.0009,,13,14444.44444,-17.15,-65.93333333
Corani Pampa Marsh,,0.0002,,26,130000,-17.1,-65.96666667
Serranía de Siberia Marsh,,0.0075,,7,933.3333333,-17.85,-64.75
Mariposa Wetland,,0.015,,49,3266.666667,-17.01666667,-65.03333333
Ivirgarsama Marsh,,0.007,,46,6571.428571,-17.01666667,-64.83333333
Senda F Wetland,,0.002,,19,9500,-16.86666667,-65.13333333
Villa Tunari Pond,,0.003,,11,3666.666667,-17.01666667,-65.43333333
Sinahota Pond,,0.0015,,9,6000,-17,-65.3
Valle de Sajta Curichi,,0.002,,6,3000,-17.11666667,-64.71666667
Puerto Villarroel Laguna,,0.3,,6,20,-16.81666667,-64.8
Bermudez Curichi,,0.15,,70,466.6666667,-17.76666667,-63.26666667
Viru Viru Wetland,,0.15,,75,500,-17.66666667,-63.26666667
Riberalta Ciénaga,,1.5,,81,54,-11.03333333,-66.05
Laguna Tumi Chuqua,,3,,34,11.33333333,-11.13333333,-66.18333333
Laguna Suarez,,5.6,,97,17.32142857,-14.88333333,-64.86666667
Concepción Wetland,,0.1,,70,700,-16.13333333,-62.01666667
Huanchaca Arroyo,,0.0004,,24,60000,-17.26666667,-65.93333333
La Toledo Curichi,,0.06,,42,700,-14.7,-61.13333333
Bahía Toledo,,1.5,,72,48,-14.7,-61.11666667
Río Paraguá,,0.005,,40,8000,-14.66666667,-61.16666667
Cuatro Vientos Swamp,,6.9,,50,7.246376812,-14.53333333,-61.18333333
Lago Caimán,,5.75,,80,13.91304348,-13.58333333,-60.91666667
Laguna Uberaba,,300,,66,0.22,-17.56666667,-57.73333333
Laguna La Gaiba,,105,,61,0.580952381,-17.8,-57.76666667
Laguna Mandioré,,250,,63,0.252,-18.28333333,-57.56666667
Laguna Cáceres,,35,,124,3.542857143,-18.95,-57.76666667
Puesto Gonzalo,,0.02,,38,1900,-17.66666667,-57.78333333
Yolosa wetland,,0.0005,,38,76000,-16.26777778,-67.73722222
Laguna Yaguacua,,0.3,,10,33.33333333,-20.43333333,-63.45
Cristalmayu wetland,,0.005,,12,2400,-17,-65.63333333
