log10(wetland area (ha)),log10(total plant species richness),Area (ha),Area (km2),Species richness,ID,SR normalised
-0.82101,1.747147,0.151004538,0.001510045,55.86592577,1,36996.1899
0.003891,2.039008,1.008999614,0.010089996,109.3976518,2,10842.18966
0.330739,2.00216,2.141603165,0.021416032,100.4985973,3,4692.680647
0.63035,1.990381,4.269234398,0.042692344,97.80949126,4,2291.031181
1.003891,1.927344,10.08999614,0.100899961,84.59486467,5,838.4033404
0.743191,2.086584,5.535935227,0.055359352,122.0629889,6,2204.920829
0.813229,2.059895,6.504725889,0.065047259,114.7876064,7,1764.680148
0.782101,2.109089,6.054816699,0.060548167,128.5550081,8,2123.185795
1.116731,1.982922,13.08371273,0.130837127,96.14395868,9,734.8369738
1.245136,1.994656,17.58474197,0.17584742,98.77703824,10,561.7201459
1.342413,2.014008,21.99950961,0.219995096,103.278043,11,469.4561145
1.533074,1.957559,34.12510529,0.341251053,90.68991608,12,265.7571759
1.513619,1.99894,32.63014472,0.326301447,99.7562236,13,305.7179931
1.544747,2.005384,35.05476015,0.350547602,101.2474281,14,288.8264751
1.019455,2.096681,10.45815321,0.104581532,124.9341021,15,1194.609599
1.054475,2.152519,11.33639579,0.113363958,142.0754368,16,1253.268142
1.058366,2.169907,11.43841897,0.11438419,147.8791685,17,1292.828746
1.136187,2.083229,13.68317874,0.136831787,121.1236641,18,885.2012122
1.217899,2.086584,16.51577661,0.165157766,122.0629889,19,739.0690233
1.264591,2.100058,18.39039257,0.183903926,125.9093552,20,684.647458
1.2607,2.128409,18.22636235,0.182263623,134.4030115,21,737.4099613
1.252918,2.149058,17.90267798,0.17902678,140.9477021,22,787.2995442
1.307393,2.109089,20.29518432,0.202951843,128.5550081,23,633.4261667
1.361868,2.095557,23.00742421,0.230074242,124.6111775,24,541.6129004
1.548638,2.077649,35.37023946,0.353702395,119.5773708,25,338.073399
1.29572,2.182748,19.75695451,0.197569545,152.3168677,26,770.9531727
1.307393,2.201562,20.29518432,0.202951843,159.0603743,27,783.7345635
1.330739,2.21459,21.41603165,0.214160316,163.9041689,28,765.3339871
1.428016,2.219346,26.79267031,0.267926703,165.7089632,29,618.4861803
1.420233,2.190959,26.31679515,0.263167952,155.2240462,30,589.8288348
1.564202,2.207474,36.66080525,0.366608053,161.2404494,31,439.816988
1.540856,2.162935,34.74209472,0.347420947,145.5241261,32,418.8697524
1.533074,2.134124,34.12510529,0.341251053,136.1833458,33,399.0708444
1.63035,2.119295,42.69234398,0.42692344,131.6118519,34,308.2797513
1.805447,2.10344,63.89207606,0.638920761,126.8936822,35,198.6062906
2.163424,2.089944,145.6880733,1.456880733,123.0110144,36,84.43451245
1.976654,2.154829,94.76631645,0.947663164,142.8331454,37,150.7214279
1.828794,2.194488,67.4208153,0.674208153,156.4905079,38,232.1100793
1.435798,2.321629,27.2770877,0.272770877,209.7147611,39,768.8312015
1.696498,2.31417,49.71620842,0.497162084,206.1436683,40,414.6407678
1.856031,2.316654,71.78455294,0.717845529,207.3261104,41,288.8171645
1.832685,2.251722,68.0275766,0.680275766,178.5344377,42,262.4442125
1.906615,2.213402,80.65197373,0.806519737,163.4564265,43,202.6688485
1.984436,2.202743,96.47971236,0.964797124,159.4935042,44,165.3129972
2.070039,2.215778,117.5003066,1.175003066,164.3531378,45,139.8746459
1.910506,2.23248,81.37781035,0.813778103,170.7969063,46,209.881423
1.898833,2.246896,79.21966472,0.792196647,176.561496,47,222.8758436
1.918288,2.279673,82.84913911,0.828491391,190.402655,48,229.8185076
1.922179,2.288249,83.59474936,0.835947494,194.1998991,49,232.3111207
1.996109,2.273567,99.10806569,0.991080657,187.7444035,50,189.4340307
2.058366,2.240878,114.3841897,1.143841897,174.1317642,51,152.2341196
2.140078,2.303025,138.0632206,1.380632206,200.9208469,52,145.5281472
2.326848,2.272348,212.2501471,2.122501471,187.2181718,53,88.20638021
2.361868,2.298089,230.0742421,2.300742421,198.650197,54,86.34178045
2.501945,2.25293,317.647177,3.17647177,179.0317266,55,56.36181888
2.194552,2.375799,156.5135709,1.565135709,237.5740493,56,151.7913418
2.361868,2.375799,230.0742421,2.300742421,237.5740493,57,103.2597335
2.505836,2.422122,320.5058789,3.205058789,264.3151155,58,82.46810211
